feature,base_entropy,expected_entropy,IG,cost,IG_per_cost,num_values,numeric,categories_or_bins,max_dismissal_rate,avg_dismissal_rate,best_dismissal_value
FLOOR.EXIT.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['STAIRCASE'],0.0,0.0,STAIRCASE
STRUCTURE.SUPPORT.MATERIAL,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['STEEL'],0.0,0.0,STEEL
SCREW.LOAD.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['AXIAL'],0.0,0.0,AXIAL
FIRE_SECTOR.RISK_LEVEL,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['MINIMUM'],0.0,0.0,MINIMUM
ACCESS_ROAD.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['DEAD_END'],0.0,0.0,DEAD_END
ENCLOSURE.MATERIAL,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['TEXTILE'],0.0,0.0,TEXTILE
ELEVATOR.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['EMERGENCY'],0.0,0.0,EMERGENCY
STEEL.PLATE.POSITION,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['CENTRAL'],0.0,0.0,CENTRAL
SYSTEM.VENTILATION.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['MECHANICAL'],0.0,0.0,MECHANICAL
ZONE.RISK_LEVEL,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['HIGH'],0.0,0.0,HIGH
KITCHEN.EXTRACTION_SYSTEM.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['SMOKE'],0.0,0.0,SMOKE
SIGNAGE.TYPE,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['PHOTOLUMINESCENT'],0.0,0.0,PHOTOLUMINESCENT
DOOR.POSITION,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['CLOSED.SAFE'],0.0024630541871921183,0.0024630541871921183,CLOSED.SAFE
SUPPORT.CONSTRUCTION.METHOD,103.20674216000988,103.20674216000988,0.0,0.25,0.0,1,False,['ON_SITE'],0.0,0.0,ON_SITE
